"","genes_list","description"
"1","A1BG","alpha-1-B glycoprotein [Source:HGNC Symbol;Acc:HGNC:5]"
"2","A1CF","APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086]"
"3","A2M","alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]"
"4","A2ML1","alpha-2-macroglobulin like 1 [Source:HGNC Symbol;Acc:HGNC:23336]"
"5","A3GALT2","alpha 1,3-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:30005]"
"6","A4GALT","alpha 1,4-galactosyltransferase (P blood group) [Source:HGNC Symbol;Acc:HGNC:18149]"
"7","A4GNT","alpha-1,4-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:17968]"
"8","AAAS","aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]"
"9","AACS","acetoacetyl-CoA synthetase [Source:HGNC Symbol;Acc:HGNC:21298]"
"10","AADAC","arylacetamide deacetylase [Source:HGNC Symbol;Acc:HGNC:17]"
"11","AADACL2","arylacetamide deacetylase like 2 [Source:HGNC Symbol;Acc:HGNC:24427]"
"12","AADACL3","arylacetamide deacetylase like 3 [Source:HGNC Symbol;Acc:HGNC:32037]"
"13","AADACL4","arylacetamide deacetylase like 4 [Source:HGNC Symbol;Acc:HGNC:32038]"
"14","AADAT","aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]"
"15","AAGAB","alpha and gamma adaptin binding protein [Source:HGNC Symbol;Acc:HGNC:25662]"
"16","AAK1","AP2 associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:19679]"
"17","AAMDC","adipogenesis associated Mth938 domain containing [Source:HGNC Symbol;Acc:HGNC:30205]"
"18","AAMP","angio associated migratory cell protein [Source:HGNC Symbol;Acc:HGNC:18]"
"19","AANAT","aralkylamine N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:19]"
"20","AAR2","AAR2 splicing factor [Source:HGNC Symbol;Acc:HGNC:15886]"
"21","AARD","alanine and arginine rich domain containing protein [Source:HGNC Symbol;Acc:HGNC:33842]"
"22","AARS",NA
"23","AARS2","alanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21022]"
"24","AARSD1","alanyl-tRNA synthetase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28417]"
"25","AASDH","aminoadipate-semialdehyde dehydrogenase [Source:HGNC Symbol;Acc:HGNC:23993]"
"26","AASDHPPT","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase [Source:HGNC Symbol;Acc:HGNC:14235]"
"27","AASS","aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366]"
"28","AATF","apoptosis antagonizing transcription factor [Source:HGNC Symbol;Acc:HGNC:19235]"
"29","AATK","apoptosis associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:21]"
